;frequency;date;# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan date;loan amount;loan duration (mths);loan payments;loan status;district_region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;unemploymant rate '95 ;unemploymant rate '96 ;no. of enterpreneurs per 1000 inhabitants ;no. of commited crimes '95 ;no. of commited crimes '96 ;card type;issued;birthdate;sex;has disponent
302;monthly issuance;1995-02-13;23.0;1.0;0.0;6.0;2.0;9.0;11.0;0.0;12.0;17488.55;50214.5;1995-08-11;107640;24;4485;1;central Bohemia;88884;80;26;6;2;5;46.7;8507;1.67;1.85;132;2159;2674;;;1959-11-22;F;False
303;monthly issuance;1994-08-27;51.0;14.0;0.0;0.0;5.0;23.0;28.0;0.0;23.0;9715.85;41077.64;1995-08-05;20220;12;1685;1;central Bohemia;81344;61;23;4;2;6;55.3;8899;3.39;3.97;149;2987;2487;;;1973-05-15;F;False
304;monthly issuance;1994-12-08;32.0;10.0;0.0;0.0;3.0;12.0;15.0;0.0;17.0;6617.94;36548.82;1995-08-01;44088;24;1837;1;central Bohemia;81344;61;23;4;2;6;55.3;8899;3.39;3.97;149;2987;2487;;;1951-06-25;F;False
305;monthly issuance;1995-12-17;55.0;11.0;0.0;0.0;15.0;19.0;34.0;0.0;21.0;7856.41;40078.71;1996-10-20;93600;24;3900;1;central Bohemia;81344;61;23;4;2;6;55.3;8899;3.39;3.97;149;2987;2487;;;1972-06-23;M;False
306;monthly issuance;1994-09-03;105.0;3.0;0.0;14.0;30.0;44.0;70.0;4.0;31.0;5890.41;41502.03;1995-11-02;41952;12;3496;1;east Bohemia;161854;73;21;6;1;6;76.3;9425;1.72;2.5;125;4085;3891;;;1972-12-10;M;False
307;monthly issuance;1995-03-24;107.0;24.0;0.0;0.0;22.0;46.0;68.0;0.0;39.0;2772.76;25906.41;1996-07-18;32640;48;680;1;east Bohemia;161854;73;21;6;1;6;76.3;9425;1.72;2.5;125;4085;3891;;;1942-10-15;M;False
308;monthly issuance;1995-07-29;48.0;17.0;0.0;0.0;4.0;19.0;22.0;1.0;25.0;8082.34;32434.69;1996-11-15;359760;60;5996;1;east Bohemia;161854;73;21;6;1;6;76.3;9425;1.72;2.5;125;4085;3891;;;1979-05-31;M;False
309;monthly issuance;1994-10-13;142.0;33.0;0.0;0.0;16.0;75.0;83.0;8.0;51.0;12237.18;63263.15;1996-07-15;155880;24;6495;1;north Bohemia;114006;71;26;6;2;9;62.3;9065;4.46;5.39;123;4147;4166;;;1968-10-30;F;True
310;monthly issuance;1994-11-15;94.0;1.0;0.0;18.0;0.0;58.0;54.0;4.0;36.0;14790.5;64182.64;1996-05-29;284280;60;4738;1;north Bohemia;114006;71;26;6;2;9;62.3;9065;4.46;5.39;123;4147;4166;;;1958-09-15;F;True
311;weekly issuance;1996-02-19;54.0;1.0;0.0;8.0;15.0;22.0;32.0;5.0;17.0;8948.18;44948.63;1996-11-03;68544;24;2856;1;north Bohemia;114006;71;26;6;2;9;62.3;9065;4.46;5.39;123;4147;4166;;;1976-09-16;M;True
312;issuance after transaction;1994-11-17;120.0;33.0;0.0;0.0;0.0;66.0;58.0;8.0;54.0;7319.42;21371.32;1996-08-24;388512;48;8094;-1;north Moravia;42821;4;13;5;1;3;48.4;8173;?;7.01;124;?;1358;;;1969-03-13;F;False
313;monthly issuance;1995-06-13;61.0;12.0;0.0;0.0;0.0;31.0;31.0;0.0;30.0;5273.67;21447.62;1996-04-11;215616;48;4492;-1;north Moravia;42821;4;13;5;1;3;48.4;8173;?;7.01;124;?;1358;;;1957-02-17;M;False
314;weekly issuance;1996-06-09;19.0;9.0;0.0;0.0;0.0;7.0;7.0;0.0;12.0;14769.1;56910.69;1996-09-22;84120;24;3505;1;north Moravia;42821;4;13;5;1;3;48.4;8173;?;7.01;124;?;1358;;;1950-03-02;F;False
315;monthly issuance;1995-01-02;178.0;31.0;0.0;0.0;64.0;66.0;127.0;3.0;48.0;8064.27;43657.81;1996-06-29;46320;24;1930;1;north Bohemia;133777;24;17;7;3;11;84.7;8705;5.75;7.61;116;4650;4859;;;1979-02-14;M;False
316;monthly issuance;1995-03-15;87.0;26.0;0.0;0.0;16.0;36.0;46.0;6.0;35.0;12113.76;53685.79;1995-12-12;191880;60;3198;1;south Bohemia;103347;87;16;7;1;7;67.0;9104;1.51;2.07;123;2299;2354;;;1949-03-08;M;False
317;monthly issuance;1995-04-07;92.0;9.0;0.0;13.0;0.0;34.0;32.0;2.0;58.0;5028.05;31318.87;1996-04-29;30276;12;2523;-1;south Bohemia;103347;87;16;7;1;7;67.0;9104;1.51;2.07;123;2299;2354;;;1939-04-23;F;False
318;monthly issuance;1995-04-07;80.0;9.0;0.0;13.0;0.0;34.0;32.0;2.0;46.0;5856.3;25197.09;1996-04-29;30276;12;2523;-1;south Bohemia;103347;87;16;7;1;7;67.0;9104;1.51;2.07;123;2299;2354;;;1939-04-23;F;False
319;monthly issuance;1995-04-03;48.0;13.0;0.0;0.0;5.0;21.0;26.0;0.0;22.0;3609.74;31814.41;1996-01-11;20352;48;424;1;south Moravia;109164;98;16;6;1;4;63.6;8757;3.38;3.95;96;2212;2471;;;1948-03-05;F;True
320;monthly issuance;1995-05-27;87.0;3.0;0.0;15.0;10.0;45.0;50.0;5.0;32.0;12403.51;47654.24;1996-08-06;270384;48;5633;1;central Bohemia;75232;55;26;4;1;5;41.7;8980;1.95;2.21;111;2824;2813;;;1962-04-07;M;False
321;monthly issuance;1995-06-15;91.0;23.0;0.0;0.0;0.0;53.0;52.0;1.0;38.0;12668.32;56669.79;1996-09-25;194940;36;5415;1;central Bohemia;112065;95;19;7;1;8;69.4;11277;1.25;1.44;127;5179;4987;;;1964-10-30;M;False
322;monthly issuance;1995-08-27;31.0;7.0;0.0;0.0;0.0;12.0;12.0;0.0;19.0;8131.07;31532.75;1996-09-26;139464;36;3874;-1;north Moravia;182027;17;49;12;2;7;56.4;8746;3.33;3.74;90;4355;4433;;;1958-08-12;M;False
323;weekly issuance;1995-12-27;10.0;4.0;0.0;0.0;0.0;3.0;3.0;0.0;7.0;13609.12;34798.28;1996-05-14;66480;24;2770;-1;north Moravia;182027;17;49;12;2;7;56.4;8746;3.33;3.74;90;4355;4433;;;1935-07-21;M;False
324;monthly issuance;1995-12-15;82.0;27.0;0.0;0.0;6.0;39.0;41.0;4.0;37.0;17234.72;76232.7;1996-11-09;110112;24;4588;1;south Moravia;107911;88;33;6;2;7;50.9;8240;2.53;3.56;99;1850;1903;;;1963-10-12;M;False
325;weekly issuance;1996-01-28;29.0;8.0;0.0;0.0;0.0;15.0;13.0;2.0;14.0;11379.26;37095.84;1996-08-28;253512;36;7042;-1;south Moravia;108871;41;29;7;2;6;62.1;8444;3.24;3.47;106;2595;2305;;;1945-08-07;F;False
326;weekly issuance;1996-02-01;31.0;3.0;0.0;7.0;3.0;12.0;14.0;1.0;16.0;7832.08;32435.32;1996-08-20;148920;60;2482;1;south Moravia;108871;41;29;7;2;6;62.1;8444;3.24;3.47;106;2595;2305;;;1977-08-03;M;False
327;monthly issuance;1996-02-12;19.0;2.0;0.0;5.0;0.0;4.0;4.0;0.0;15.0;7206.16;31337.26;1996-07-14;85716;36;2381;1;south Bohemia;74062;99;15;4;2;7;61.4;8114;2.38;2.62;119;1003;1181;;;1938-05-03;M;True
